Ime,Kategorija,Težavnost,Čas (min),Hranilna vrednost (kcal/100g),Koraki,Sestavine,Opis,Dolžina opisa (besede),Dolžina opisa (črke) 
Testenine z zelenjavo in pikantno paradižnikovo omako,MasterChef,1,35,126,6,14,"Jed, s katero sta Salome in Peška zmagala na izzivu stiliranja hrane v 19. oddaji tretje sezone MasterChef Slovenija.",19,99
"Ričota z artičoko, ocvrta bikova jajca, kivijevo-jogurtova espuma",MasterChef,1,50,124,10,31,"Ko se na enem krožniku združijo ješprenj, aričoka, ugor, bikova jajca in kivi ...",14,68
Tatar alla Sara,MasterChef,1,16,192,3,15,"Tatarski biftek po receptu Sare Rutar, tekmovalke 3. sezone MasterChef Slovenija.",11,71
Tatar alla Elvis,MasterChef,1,25,126,3,14,"Tatarski biftek po receptu Elvisa Kudića, tekmovalca 3. sezone MasterChef Slovenija.",11,74
Jabolčni zavitek,MasterChef,2,65,229,4,12,"Zavitek, kot ga pripravijo tekmovalci MasterChefa.",6,45
Ješprenjeva enolončnica in ajdov kruh s semeni,MasterChef,2,90,306,6,21,Zmagovalna kombinacija enolončnice in domačega kruha.,6,48
Veganska potica z rožičem,"Zdravo, Tereza!",3,190,322,6,19,"Potica je gotovo najbolj znana in najbolj razširjena tradicionalna slovenska jed. Njeno ime menda izhaja iz besede povitica, od koder se je spremenila v povtico in nato nadalje v potico. Potice sem se otepala na vse možne načine, saj sem se njene priprave, vzhajanja, zvijanja in peke strašansko bala. Potem pa sem poprijela za kuhalnico, valjar, kokosovo olje in pirino moko ter začela. Čeprav nisem privrženka kvasa, je pri potici skoraj nujen, naslednjič pa poskusim še s starterjem oziroma drožmi. Potica je tudi veganska, se pravi testo ni ravno tradicionalno, saj ne vsebuje rumenjakov. Rumenjaki naj bi bili nujni za sočnost testa, slišala pa sem tudi zgodbo svoje tašče, da bolj, ko je bilo testo rumeno, bolj so bile gospe ponosne, to je pomenilo, da v hiši ni primankovanja, saj so uporabile za potico veliko rumenjakov. Kakorkoli že, po svoji navadi moram malo razburkati tradicionalne recepte. Za lepo rumeno barvo testa sem uporabila kurkumo, za sočnost pa kokosovo olje in kokosovo smetano.",162,843
Lečna juha,"Zdravo, Tereza!",1,45,67,2,10,"Ta juha je naravnost izvrstna. Je zelo okusna in zdrava, hitro pripravljena, za nameček pa tudi blagodejno vpliva na prebavo.",20,106
Pečen nadevan jajčevec z zelenjavnim pirejem in omako,MasterChef,1,35,91,5,12,"Jed je na izločitvenem testu v 14. oddaji 3. sezone MasterChef Slovenija pripravil Boštjan Meglič - Peška. Kljub temu, da je moral kuhati s sestavino, ki mu je v 12. oddaji povzročala veliko težav, mu je tokrat iz jajčevca uspelo pripraviti odlično jed.",43,211
"Kengurujevi medaljoni, pire iz sladkega krompirja in pastinaka, sotirana špinača",MasterChef,1,35,78,3,12,"Jed je na izločitvenem testu v 14. oddaji 3. sezone MasterChef Slovenija pripravila Mojca Gorkič. Kljub temu, da je dobila sestavino - kengurujevo meso, ki ji je v preteklih oddajah povzročalo težave, je nalogo odlično opravila.",36,193
"Polentni kolaček s s suhim sadjem, kremo iz sliv in smetane ter meringo",MasterChef,1,45,324,7,19,"Na individualnem testu v 14. oddaji 3. sezone MasterChef Slovenija so tekmovalci kuhali s sestavinami, ki jih na svojih odpravah uporabljajo ekstremni alpinisti. Zmagal je Iztok Jovan, ki je iz polente, suhega sadja, izotoničnega napitka, prepečenca in čaja pripravil zelo okusno sladico.",42,247
Vegetarijanski krožnik,MasterChef,1,40,91,6,26,"Zmagovalni krožnik izziva v parih, s katerim so se tekmovalci 3. sezone MasterChef Slovenija spopadli v 13. oddaji. Jed sta pripravila Elvis Kudić in Lucija Ćirović, sestavljena pa je iz pečenega krompirja, špinačne kreme, pireja iz pastinaka in korenja, zelenjave z medom ter koromačeve tempure.",45,252
Piščančja rulada z osočnikom in ostrigami ter smetanova omaka s pomarančo,MasterChef,2,35,201,7,9,"V 12. oddaji 3. sezone MasterChef Slovenija so tekmovalci na izločitvenem testu čas, ki so ga potrebovali za kuhanje, kupovali s pomočjo slepe dražbe. Vsaka sestavina, ki so jo kupili, jim je prinesla dodatnih 5 minut časa. Problem je nastal, ko so morali vse sestavine, ki so jih kupili, tudi uporabiti v končni jedi. Predstavljamo vam recept za piščančjo rulado, ki jo je na izzivu pripravil Boštjan Meglič - Peška.",70,348
Losos s pirejem iz sladkega krompirja in špinačno kremo,MasterChef,1,45,226,6,22,"Na individualnem testu v 12. oddaji 3. sezone MasterChef Slovenija so morali tekmovalci v košarico nabrati za natanko 800 g sestavin. Eni so bili pri tem bolj natančni, drugi manj.Kdor je presegel dovoljeno težo, je ostal brez odvečnih sestavin, na koncu pa je moral pripraviti jed iz tistega, kar mu je ostalo v košarici. Na testu se je najbolje odrezal Elvis Kudić, ki je iz lososa, sladkega krompirja, špinače, gob, masla in sladke smetane pripravil zelo okusno, lahko in tudi zdravo ribjo jed.",83,415
Oslovo meso z ohrovtom in sirno omako,MasterChef,1,40,231,4,14,"V 11. oddaji 3. sezone MasterChef Slovenija so se tekmovalci na izzivu v paru spopadli s pripravo eksotičnega mesa. Vsak par je dobil svojo vrsto mesa, iz katerega je moral v 45 minutah pripraviti vrhunsko jed. Sašo Weiligoni - Mš je na izzivu ostal brez para, zato se mu je na izzivu pridružil neznani gost. Iz oslovega mesa sta pripravila okusne steake in jih postregla na posteljici iz dušenega ohrovta. Za piko na i je poskrbela sirova omaka, s katero sta prelila pečeno meso in zelenjavo.",86,408
"Oslovski medaljoni z bučnim pirejem, drobljencem in šalotkino omako",MasterChef,1,40,234,9,21,"V 11. oddaji 3. sezone MasterChef Slovenija so se tekmovalci na izzivu v paru spopadli s pripravo eksotičnega mesa. Vsak par je dobil svojo vrsto mesa, iz katerega je moral v 45 minutah pripraviti vrhunsko jed. Sara Rutar in Lucija Ćirović sta dobili oslovo meso, iz katerega sta pripravili okusne pečene medaljone, ki sta jih postregli z nežnim pirejem, hrustljavim drobljencem in vinsko omako.",64,332
Sladko-kisli krokodilji chop suey,MasterChef,1,45,163,6,16,"V 11. oddaji 3. sezone MasterChef Slovenija so se tekmovalci na izzivu v paru spopadli s pripravo eksotičnega mesa. Vsak par je dobil svojo vrsto mesa, iz katerega je moral v 45 minutah pripraviti vrhunsko jed. Sašo Šketa in Iztok Jovan sta na izzivu dobila krokodilovo meso in iz njega pripravila azijsko jed, ki je navdušila sodnike.",57,279
Veganski piškoti s koščki čokolade,"Zdravo, Tereza!",1,41,417,5,10,"Zdrava različica priljubljenih ameriških piškotov s koščki čokolade. Tokrat brez belega sladkorja, jajc, masla in pšenične moke. Pa da ne boste mislili, da so piškoti na račun bolj zdravih sestavin manj okusni!",32,179
Matcha vaflji s presnim sladoledom,"Zdravo, Tereza!",1,30,207,3,14,"Razvajajte se brez slabe vesti in si privoščite okusno sladico, pripravljeno brez jajc, mlečnih izdelkov, glutena in belega sladkorja.",19,116
Kvinojina solatka,"Zdravo, Tereza!",1,30,225,4,17,"Zdrava, hranljiva in izjemno okusna solata iz kvinoje, zelenega humusa, pečene zelenjave in popraženih semenk.",15,96
Presna pita z jagodami,Zdravo in vegi,1,140,332,3,11,"Krhka osnova, božanska krema in sveže sadje - zagotavljamo vam, da boste med jedjo tako uživali, da ne boste niti pomislili, da ta sladica v bistvu ne vsebuje jajc, moke in mlečnih izelkov.",33,157
Falafel z jogurtovo omako s tahinijem,Vegetarijanstvo,1,30,239,4,16,"Falafel jetipična arabska poulična jed. Gre za ocvrte kroglice, narejene iz zmlete namočene čičerike in začimb, ki se navadno postrežejo z različnimi omakami in pita kruhom. V osnovi je to zelo zdrava jed, ki pa jo nekoliko 'pokvari' dejstvo, da gre za ocvrto jed. V kolikor pa se cvrenju spretno ognemo - iz zmesi oblikujemo majhne polpetke in jih spečemo kar v ponvi ali pečici - pa ustvarimo resnično zelo zdravo in okusno jed oziroma prigrizek, s katerim lahko popestrimo marsikatero zabavo. Zraven se odlično prileže jogurtova omaka s tahinijem, v katero pečene polpetke pomakamo.",95,491
Veganski sendvič z bučkami,"Zdravo, Tereza!",1,75,35,4,15,"Zdrav in okusen sendvič za vegetarijance, vegane in vse tiste, ki radi poskusijo kaj novega. Kombinacija slastnega paprikinega namaza, hrustljavih bučk, avokada in solate je tako okusna, da boste resnično uživali v vsakem grižljaju tega noro dobrega sendviča, ki si ga lahko privoščite za malico, kosilo ali večerjo.",48,269
"Špageti z oljem, česnom in kodrolistnim ohrovtom",Zdravo in vegi,1,25,158,5,6,"Testenine so vedno odlična rešitev, ko bi radi pripravili nekaj 'na hitro'. Če jim dodamo zelenjavo, česen in olivno olje, pa so tudi odlična izbira, ko želimo zaužiti nekaj zdravega.",30,154
Velikonočni cupcakesi,Velika noč,1,48,436,7,16,"Bi za veliko noč radi pripravili sladico, ki bo hkrati dobra, prikupna in enostavna za pripravo? Če je vaš odgovor pritrdilen, bodo velikonočni cupcakesi s kremo iz bele čokolade kot ustvarjeni za vas. Pa tudi pri dekoriranju se boste zabavali.",40,205
S slanino in guacamolejem polnjena jajca,Zabava,1,25,153,5,8,"Ste se naveličali klasičnih nadevanih jajc in iščete nekaj, s čimer bi lahko tudi popestrili mizo. V nadev dodajte avokado, koriander, sesekljano rdečo čebulo ter ščepec ali dva mletega čilija, po nadevanih jajcih pa na koncu potrosite še koščke hrustljave slanine. Prava paša za oči in želodčke!",47,250
Korenčkov krožnik,MasterChef,1,50,206,4,17,"Korenčkova pojedina, s katero je Lucija Čirović na izločitvenem testu v deseti oddaji MasterChef Slovenija prepričala stroge sodnike in si prislužila vstopnico na balkon.",24,147
"Drobljenec, limonina krema, beli mousse in jagodni biskvit",MasterChef,2,100,280,7,28,"V deseti oddaji MasterChef Slovenija so se tekmovalci spopadli z zahtevnim individualnim testom, ki je preveril njihovo umetniško plat. Pripraviti so morali sladico, ki je izražala umetniško zgodbo iz ptičje perspektive. Zmagovalka izziva je postala Sara Rutar.",37,225
"Čokoladna zemlja, ganache krema, omaka iz svežega jagodičevja",MasterChef,1,30,397,4,12,"V deveti oddaji MasterChef Slovenija so se tekmovalci na skupinskem izzivu spopadli s pripravo trihodnega menija. Razdeljeni so bili v štiri skupine po tri tekmovalce, za čas in sestavine pa so borili v igri 'Človek ne jezi se'. Na izzivu se je najbolje odrezala zelena skupina, katere celoten meni je pripravil samo en tekmovalec - Elvis Kudić! Predstavljamo vam recept za njihovo sladico.",63,328
"Ričota s šampinjoni, pečen brancinov file",MasterChef,1,0,165,3,9,"V deveti oddaji MasterChef Slovenija so se tekmovalci na skupinskem izzivu spopadli s pripravo trihodnega menija. Razdeljeni so bili v štiri skupine po tri tekmovalce, za čas in sestavine pa so borili v igri 'Človek ne jezi se'. Na izzivu se je najbolje odrezala zelena skupina, ki je celoten meni pripravila zgolj z enim tekmovalcem - Elvisom Kudićem! Predstavljamo vam recept za njihovo glavno jed.",65,336
"Pečena pokrovača, korenčkov pire, sotirana mlada čebulica",MasterChef,1,25,177,3,8,"V deveti oddaji MasterChef Slovenija so se tekmovalci na skupinskem izzivu spopadli s pripravo trihodnega menija. Razdeljeni so bili v štiri skupine po tri tekmovalce, za čas in sestavine pa so borili v igri 'Človek ne jezi se'. Na izzivu se je najbolje odrezala zelena skupina, ki je celoten meni pripravila zgolj z enim tekmovalcem - Elvisom Kudićem! Predstavljamo vam recept za njihovo morsko predjed.",65,340
Sladka ajdova kaša s skuto in poširano hruško,MasterChef,1,30,216,6,11,"Na izločitvenem testu v osmi oddaji MasterChef Slovenija so tekmovalci pripravljali jedi iz najljubših oziroma najmanj priljubljenih sestavin sodnikov. Sašo Šketa se je spopadel z Alminimi neljubimi sestavinami: ajdovo kašo in skuto. Iz omenjenih sestavin je pripravil sladico, s katero je navdušil vse tri sodnike.",45,271
Skutni njoki z gorgonzolino omako in čokolado,MasterChef,1,30,218,4,16,"Na izločitvenem testu v osmi oddaji MasterChef Slovenija so tekmovalci pripravljali jedi iz najljubših oziroma najmanj priljubljenih sestavin sodnikov. Iztok Jovan se je spopadel s Karimovimi najljubšimi sestavinami: gorgonzolo in čokolado. Iz omenjenih sestavin je pripravil rahle skutne njoke in jih postregel z gorgonzolno omako, vse skupaj pa je na koncu polil še s čokoladno omako. Za pripravljeno jed je prejel številne sodniške pohvale.",64,380
"Ravioli s kislo repo in krvavico, omaka iz rdeče pese, ocvirki",MasterChef,2,60,291,6,18,"Na individualnem izzivu v osmi oddaji MasterChef Slovenija je tekmovalce čakala posebna preizkušnja. Iz krvavice so morali pripraviti moderno in izvirno jed, pri tem pa so jo morali uporabiti kot sestavino in ne kot komponento. Sodnikom se je pri pri ocenjevanju pridružila Katrina Kozar, tekmovalka 6. sezone ameriškega MasterChefa, ki se je pod mentorstvom slavnega Gordona Ramsayja uvrstila med najboljših pet tekmovalcev. Sodnike so na izzivu navdušili trije tekmovalci: Elvis Kudić, Sara Rutar in Sašo Bertoncelj. Predstavljamo vam recept Saševe jedi.",81,476
"Ravioli s krvavico, peteršiljev pire, pena kisle smetane, pehtrana in skute",MasterChef,2,60,367,6,29,"Na individualnem izzivu v osmi oddaji MasterChef Slovenija je tekmovalce čakala posebna preizkušnja. Iz krvavice so morali pripraviti moderno in izvirno jed, pri tem pa so jo morali uporabiti kot sestavino in ne kot komponento. Sodnikom se je pri pri ocenjevanju pridružila Katrina Kozar, tekmovalka 6. sezone ameriškega MasterChefa, ki se je pod mentorstvom slavnega Gordona Ramsayja uvrstila med najboljših pet tekmovalcev. Sodnike so na izzivu navdušili trije tekmovalci: Elvis Kudić, Sara Rutar in Sašo Bertoncelj. Predstavljamo vam recept za Elvisovo jed.",82,479
"Piščančja rulada s krvavico, zelenjavni pire in rdeče zelje",MasterChef,1,80,150,6,24,"Na individualnem izzivu v osmi oddaji MasterChef Slovenija je tekmovalce čakala posebna preizkušnja. Iz krvavice so morali pripraviti moderno in izvirno jed, pri tem pa so jo morali uporabiti kot sestavino in ne kot komponento. Sodnikom se je pri pri ocenjevanju pridružila Katrina Kozar, tekmovalka 6. sezone ameriškega MasterChefa, ki se je pod mentorstvom slavnega Gordona Ramsayja uvrstila med najboljših pet tekmovalcev. Sodnike so na izzivu navdušili trije tekmovalci: Elvis Kudić, Sara Rutar in Sašo Bertoncelj. Predstavljamo vam recept za Sarino jed.",82,477
Cvetačna rižotka z bučo in gorgonzolo,"Zdravo, Tereza!",1,32,56,4,12,"Okusna zelenjavna rižotka, ki to v resnici ni. V receptu namreč ne uporabimo niti grama navadnega riža, ampak ga nadomestimo z 'zelenjavnim rižem', ki ga pripravimo iz surove cvetače. Jed je odlična izbira, ko želimo zaužiti nekaj zdravega, lahkega in zelo okusnega.",42,225
Kremna škampova juha,MasterChef,1,15,0,4,6,Juho je na individualnem izzivu v šesti oddaji 3. sezone MasterChef Slovenija pripravila tekmovalka Salome. S pripravljeno jedjo je povsem navdušila sodnico Almo in si priborila vstopnico na balkon.,29,170
Jajčne testenine s sušenim paradižnikom in škampovo omako,MasterChef,1,45,284,5,13,"V sedmi oddaji so se tekmovalci 3. sezone MasterChef Slovenija na izzivu v parih preizkusili v pripravi jedi različnih svetovnih kulinarik. Predstavljamo vam recept za italijansko jed, s katero je Mojca Gorkič na izzivu premagala Sašota Bertonclja.",37,212
"Pečeni rezanci s kozicami, sladko-pekoča svinjina in tapiokin cmok",MasterChef,1,45,123,6,23,"V sedmi oddaji so se tekmovalci 3. sezone MasterChef Slovenija na izzivu v parih preizkusili v pripravi jedi različnih svetovnih kulinarik. Predstavljamo vam recept za azijsko jed, s katero je Lucija Ćirović na izzivu premagala Nino Plahčinski Drobne.",38,214
Paella s svinjsko ribico,MasterChef,1,45,177,4,17,"V sedmi oddaji so se tekmovalci 3. sezone MasterChef Slovenija na izzivu v parih preizkusili v pripravi jedi različnih svetovnih kulinarik. Predstavljamo vam recept za špansko jed, s katero je Boštjan Meglič - Peška na izzivu premagal Elvisa Kudića.",39,211
"Sendvič z jelenom, bučo in karamelizirano čebulo",MasterChef,1,45,124,5,14,"V sedmi oddaji so se tekmovalci 3. sezone MasterChef Slovenija na izzivu v parih preizkusili v pripravi jedi različnih svetovnih kulinarik. Sašo Weilgoni - Mš je iz sestavin, značilnih za nordijsko kuhinjo, pripravil sendvič, za katerega je dejal, da je 'bolano dober'. Očitno je bil res odličen, saj so bili nad njim navdušeni tudi sodniki, Luka pa si je zraven privoščil še kozarček temnega piva.",65,334
Južno-indijski curry s kozicami,MasterChef,1,45,70,6,17,"V sedmi oddaji so se tekmovalci 3. sezone MasterChef Slovenija na izzivu v parihpreizkusili v pripravi jedi različnih svetovnih kulinarik. Predstavljamo vam recept za indijsko jed, s katero je Klara Avsenik na izzivu premagala Saro Rutar.",36,203
Sipina črna rižota,MasterChef,2,55,318,4,13,"V četrti oddaji 3. sezone MasterChef Slovenija so morali tekmovalci na izločitvenem testu pripraviti jed iz sipe. Sodnike je najbolj navdušila jed Mojce Gorkič, sipina črna rižota, ki ji je tekmovalka za piko na i dodala parmezanov čips.",38,200
Zdrave testenine z bučo in pestom kodrolistnatega ohrovta,"Zdravo, Tereza!",1,30,276,4,14,"Ko boste prebrali ta recept, boste videli, da je priprava zdravega obroka lahko tudi nadvse hitra in preprosta.",18,94
Začinjena korenčkova solata s sezamom,Zdravo in vegi,1,30,143,3,8,"Korenje bi se moralo na naših jedilnikih znajti čim pogosteje, saj očiščuje in zdravi vse telo. Blagodejno vpliva tudi na žleze, oči, možgane in kosti ter izboljšuje prebavne funkcije. Odlično je kot dodatek zelenjavnim juham in enoločnicam, če želimo izkoristiti največ njegovih hranilnih snovi, pa je najbolje, da si ga privoščimo kar surovega v solati.",55,301
Detox zeleni smoothie,Zdravo in vegi,1,10,41,2,7,"Zelena listnata zelenjava vsebuje veliko vitaminov, mineralov, fitohranil in prehranskih vlaknin, ki pospešujejo prebavo. Deluje protivnetno in poveča raven klorofila, kar telesu pomaga pri izločanju toksinov. Agrumi vsebujejo snovi, ki aktivirajo razstrupljevalne encime v jetrih in imajo ključno vlogo pri razstrupljanju organizma. Banane so bogate z magnezijem, železom, beta karotenom in vitaminom C, ki ima zelo pomembno vlogo pri ohranjanju zdravega imunskega sistema. So pa tudi odličen vir kalija, ki nas napolni z energijo in spodbudi ledvice k delovanju ter izločanju odpadnih snovi. Si zdaj predstavljate, kaj se zgodi, če vse omenjene sestavine združimo in s pripravljenim napitkom začnemo dan?!",100,608
Prosena kaša z orehi in limonino kremo,Vegetarijanstvo,2,40,255,4,13,"Okusen zajtrk, ki vas bo nasitil in napolnil z energijo, potrebno za začetek (delovnega) dne. Dodatek limonine kreme lahko tudi izpustite, če pa jo boste pripravili, vam svetujemo, da to storite že en dan prej.",35,176
Ocvirkovca,Pust,2,260,378,4,9,"Ste vedeli, da je ocvirkovca oziroma slastna špehova potica celo starejša pustna jed, kot so krofi?! Tradicionalno se je pripravljala na pustni torek, gospodinje pa so med seboj celo tekmovale, katera bo pripravila boljšo špehovko.",35,197
Ruske skutne palačinke (sirniki),Sladice,1,25,182,4,9,"S temi palačinkami boste ubili dve muhi na en mah. Z njimi boste zadovoljili ljubitelje palačink, navdušili pa boste tudi ljubitelje skutnih jedi. Pa še čisto preproste za pripravo so!",30,155
Šarkelj s pomarančnim sirupom,Velika noč,1,65,390,7,13,"Če vam priprava potice ne diši najbolj, pa naredite šarkelj. Skrb, da sladica ne bo sočna je povsem odveč, saj za to poskrbi okusen pomarančni sirup, s katerim pečen šarkelj prelijemo. Sladica je primerna tako za vsakdanje kot tudi za posebne priložnosti, kot so na primer praznovanja in prazniki.",49,249
Italijanski tiramisu,Italijanska,1,40,295,4,7,"Tiramisu je po vsem svetu poznana italijanska sladica, narejena iz plasti piškotov in kremaste zmesi, pripravljene iz maskarpone sira in stepenih jajc. Ime te priljubljene sladice v dobesednem prevodu pomeni “potegni me gor“. Če boste tiramisu pripravljali po originalnem receptu, vas bo resnično prebudil in 'potegnil kvišku'. Za to bosta poskrbela močna črna kava, v katero pomočimo piškote in kakav v prahu, s katerim sladico potrosimo.",66,374
Ribji fileji v hrustljavi srajčki,"Zdravo, Tereza!",1,30,147,4,4,Zdrava 'pohana' ribica.,3,21
MasterChef sladica,MasterChef,3,70,323,6,23,"Sladica, ki so jo tekmovalci 3. sezone kuharskega tekmovanja MasterChef Slovenija pripravljali na izločitvenem testu v šesti oddaji, je sestaviljena iz večih komponent. Osnova je čokoladna skodelica, v katero sta naložena čokoladni mousse in pasijonkin kuli. Sladica je nato dekorirana s svežim sadjem. čokoladnim crumblom in na kose narezanim zelenim munchmallowom. Če bi se radi preizkusili v pripravi sladice, ki ni uspela nobenemu tekmovalcu, vam spodaj razkrivamo celotni postopek.",69,418
V tempuri ocvrti škampi s polento in paradižnikom,MasterChef,1,25,350,5,15,"Na individualnem izzivu v šesti oddaji 3. sezone MasterChef Slovenija je tekmovalce čakal izziv, na katerem so morali pokazati veliko kuharskega znanja, iznajdljivosti in sposobnosti taktiziranja.Na voljo so imeli 12 specifičnih sestavin, s katerimi so kuhali v treh krogih. Sestavine, ki so jih uporabili v enem krogu, v ostalih dveh niso več mogli uporabiti. V drugem krogu je sodnike najbolj navdušil Elvis Kudić, recept za njegovo jed pa si lahko preberete spodaj.",72,397
Pečen jagenjček s pirejem iz vijoličastega krompirja,MasterChef,1,35,171,7,13,"Na individualnem izzivu v šesti oddaji 3. sezone MasterChef Slovenija je tekmovalce čakal izziv, na katerem so morali pokazati veliko kuharskega znanja, iznajdljivosti in sposobnosti taktiziranja. Na voljo so imeli 12 specifičnih sestavin, s katerimi so kuhali v treh krogih. Sestavine, ki so jih uporabili v enem krogu, v ostalih dveh niso več mogli uporabiti. V prvem krogu je sodnike najbolj navdušila Sara Rutar, recept za njeno jed pa si lahko preberete spodaj.",73,394
Holandska omaka,MasterChef,3,35,669,4,4,"Holandska omaka v osnovi vsebuje samo dve sestavini: maslo in rumenjake. Je ena najbolj znanih omak, ki pa marsikoga od priprave odvrne predvsem zaradi tega, ker slovi kot ena najtežjih omak - kar se tiče priprave, seveda. Uporablja se kot dodatek poširani zelenjavi, solati, ribam in je skorajda nepogrešljiva pri pripravi jajc po benediktinsko. S pripravo znamenite omake so spopadli tudi tekmovalci 3. sezone priljubljenega kuharskega tekmovanja MasterChef Slovenija. Pomagali so si z receptom, ki vam ga razkrivamo v nadaljevanju.",80,455
Palačinke s čokoladno-maskarponejevo kremo s kokicami,MasterChef,1,60,294,5,15,"V četrti oddaji 3. sezone MasterChef Slovenija so morali tekmovalci na individualnem izzivu pripraviti jed s kokicami. Kaj bodo pripravili, je bila v celoti njihova odločitev, pomembno je bilo samo to, da je jed na koncu kar pokala od kokic! Na izzivu se je najbolje odrezal Boštjan Meglič - Peška, ki je kokice dodal v čokoladno-maskarponejevo kremo, s katero je nadeval palačinke.",62,321
Čokoladna tortica z borovnicami in mangovo kremo,MasterChef,1,40,266,8,20,"V tretji oddaji 3. sezone MasterChef Slovenija so se tekmovalci vrnili v preteklost in obudili spomine na jedi iz starih slovenskih filmov. Razdeljeni v tri skupine, modro, rdečo in zeleno, so se preizkusili v pripravi trihodnega menija. Predstavljamo vam recept za sladico zmagovalne modre skupine, katere navdih je bila čokoladna torta iz filma Dvojne počitnice.",55,310
Hrustljavi telečji fingersi z olivnim pirejem,MasterChef,1,50,227,5,13,"V tretji oddaji 3. sezone MasterChef Slovenija so se tekmovalci vrnili v preteklost in obudili spomine na jedi iz starih slovenskih filmov. Razdeljeni v tri skupine, modro, rdečo in zeleno, so se preizkusili v pripravi trihodnega menija. Predstavljamo vam recept za glavno jed zmagovalne modre skupine, katere navdih so bili ocvrti telečji zrezki iz filma Moj ata socialistični kulak.",59,326
Bircher musliji,"Zdravo, Tereza!",1,15,167,2,9,"Skodelica ovsenih kosmičev še vedno velja za enega najbolj zdravih in priljubljenih zajtrkov. Po priporočilih prehranskih strokovnjakov je še bolje, da jih za nekaj časa namočimo, saj s tem poskrbimo, da so hranila v kosmičih organizmu še bolj dostopna. Če pa jim dodamo še malo suhega (svežega) sadja, oreščkov, semen in jogurta, pa ustvarimo vrhunski zajtr,k po katerem še dolgo časa ne bomo lačni.",64,337
Školjke s sotiranim fižolom in toastom,MasterChef,1,25,126,3,9,"V tretji oddaji 3. sezone MasterChef Slovenija so se tekmovalci vrnili v preteklost in obudili spomine na jedi iz starih slovenskih filmov. Razdeljeni v tri skupine, modro, rdečo in zeleno, so se preizkusili v pripravi trihodnega menija. Predstavljamo vam recept za predjed zmagovalne modre skupine, katere navdih so bile školjke iz filma Poletje v školjki.",55,303
"Zeliščne polpete, grahov pire s timijanom, sotirana gomoljna zelenjava in jajce na oko",MasterChef,1,40,153,8,25,"Recept za jed, ki so jo tekmovalci tretje sezone MasterChef Slovenija pripravljali na skupinskem izzivu v prvi oddaji.",18,101
Irske krompirjeve palačinke,Zelenjava,1,50,104,6,8,"Boxty so na Irskem zelo priljubljene krompirjeve palačinke, narejene iz mešanice pretlačenega in naribanega krompirja. Tradicionalno jih jedo za zajtrk na dan Sv. Patrika, ki ga praznujejo 17. marca. Krompirjeve palačinke si lahko privoščimo tudi za malico, kosilo ali večerjo. Obložene s kislo smetano in popraženo slanino pa so seveda še boljše!",52,296
Švedske mesne kroglice (köttbullar),Meso,1,50,213,6,16,"Köttbullar so ena najbolj znanih in priljubljenih švedskih jedi. Gre za zelo rahle in okusne mesne kroglice, ki jih tradicionalno postrežejo z gosto kremno omako in brusnično marmelado. Zraven se odlično prileže pire krompir, ki ga lahko po želi nadomestite tudi s kuhanim rižem.",44,236
Piščančja jetrna pašteta s slanino,Zabava,1,30,285,4,8,"Priprava domače paštete je hitra in zelo preprosta. Počakati boste morali zgolj na to, da se dobro ohladi. Zagotavljamo vam, da jo boste z užitkom mazali na kruh!",28,135
Ocvrti piščančji trakovi s kokosom,Zabava,1,54,220,4,10,"Če boste ocvrte piščančje trakove postregli kot prigrizek na zabavi ali pikniku, sestavine zadoščajo za večje število oseb (6 - 8), če pa jih boste postregli za kosilo (večerjo), pa boste z njimi nasitili širi lačne jedce.",37,186
Čokoladno-lešnikova torta brez moke,Valentinovo,1,62,424,4,10,"Če ste iz prehrane izločili gluten in iščete recept za dobro torto, ste na pravem mestu. Še zlasti, če ste ljubitelj oziroma ljubiteljica čokolade, oreščkov in preprostih receptov. Čokoladno lešnikova torta brez moke je božansko dobra že sama po sebi, za še večji užitek pa si jo privoščite s kupčkom stepene smetane in poljubnim svežim sadjem.",56,289
Slane vrtnice,Valentinovo,1,45,299,3,3,Naj bo valentinovo ali kakšna druga priložnost za romantično razvajanje v dvoje - z okusnimi slanimi vrtnicami preprosto ne morete zgrešiti. Pa še s kozarcem dobrega (penečega) vina se odlično ujamejo.,31,171
Hitre rafaelo kroglice,Valentinovo,1,30,567,4,7,"Omamno dobre kroglice, v katerih se harmonično prepletajo bela čokolada, kokos in mandlji.",13,78
Juha iz pečenega korenja z ingverjem,Vegetarijanstvo,1,70,74,4,9,"Korenje ima med vsemi vrstami zelenjave največjo vsebnost betakarotena, poleg tega pa je bogato tudi s kalijem, kalcijem, folno kislino in železom. Ingver slovi kot zelo zdravo živilo, ki pogreje, poskrbi za prebavo in imunski sistem, hkrati pa tudi odžene vse bakterije in viruse. Če boste omenjeni sestavini združili, boste dobili zelo zdravo in okusno jed, ki bo prijetno ogrela premraženo telo, hkrati pa vas bo oskrbela z vitamini, minerali in antioksidanti.",72,392
Sirovi mafini,Piknik in žar,1,40,388,3,14,"Sirovi mafini so odlični kot priloga solati ali juhi, lahko pa jih vzamete tudi na piknik ali v službo. Ker so tako hitro pripravljeni, se odlično obnesejo tudi kot prigrizek, s katerim pogostite nepričakovane goste.",35,182
